NL Site Number,File Start Date,File End Date,File Start Time,File End Time,File Severity,Average Length,File Duration,Hectometer Head,Hectometer Tail,Route Letter,Route Number,Route Description,Hectometering Direction,Trajectory From,Trajectory To,Cause Ground Detail,Route
3723750,2023-09-20,2023-09-20,07:27:26,07:51:00,80903.0,3433000.0,"23,567",139.6,137.4,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3724473,2023-09-20,2023-09-20,16:28:30,16:30:03,4495.0,2900000.0,"1,550",115.6,112.7,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3720729,2023-09-18,2023-09-18,16:56:30,16:59:00,12050.0,4820000.0,"2,500",113.5,108.8,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3720811,2023-09-18,2023-09-18,17:08:30,17:12:00,8972.0,2563000.0,"3,500",113.8,111.5,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3720897,2023-09-18,2023-09-18,17:17:30,17:21:03,7688.0,2166000.0,"3,550",110.6,108.6,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3721775,2023-09-19,2023-09-19,07:52:28,07:55:03,5773.0,2235000.0,"2,583",136.0,133.8,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3723366,2023-09-19,2023-09-19,17:41:30,17:43:00,4650.0,3100000.0,"1,500",139.6,136.5,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3723816,2023-09-20,2023-09-20,07:48:28,07:55:02,19990.0,3044000.0,"6,567",139.6,137.3,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3723965,2023-09-20,2023-09-20,08:23:28,08:43:00,75078.0,3844000.0,"19,533",140.0,136.7,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3724371,2023-09-20,2023-09-20,16:10:29,16:19:00,21012.0,2467000.0,"8,517",136.4,133.9,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3720903,2023-09-18,2023-09-18,17:18:30,17:23:00,10163.0,2259000.0,"4,500",132.2,130.0,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3721132,2023-09-18,2023-09-18,17:40:30,17:46:00,15105.0,2746000.0,"5,500",111.0,108.4,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3721291,2023-09-18,2023-09-18,18:03:30,18:22:00,60787.0,3286000.0,"18,500",134.3,131.8,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3723435,2023-09-19,2023-09-19,17:51:30,17:53:00,3000.0,2000000.0,"1,500",114.9,112.9,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3724424,2023-09-20,2023-09-20,16:19:29,16:22:00,5375.0,2136000.0,"2,517",115.9,113.8,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3721873,2023-09-19,2023-09-19,08:07:28,08:13:00,13567.0,2452000.0,"5,533",154.3,152.3,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3723163,2023-09-19,2023-09-19,17:19:30,17:54:00,149297.0,4327000.0,"34,500",115.6,112.7,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3723888,2023-09-20,2023-09-20,08:05:28,08:08:00,4653.0,1837000.0,"2,533",155.8,154.0,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3724555,2023-09-20,2023-09-20,16:46:30,16:48:00,4350.0,2900000.0,"1,500",139.6,136.7,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3725409,2023-09-21,2023-09-21,08:04:29,08:45:04,153858.0,3791000.0,"40,583",139.9,137.8,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3722778,2023-09-19,2023-09-19,16:32:29,16:52:00,53373.0,2735000.0,"19,517",139.7,137.3,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3722837,2023-09-19,2023-09-19,16:40:29,17:04:00,89058.0,3787000.0,"23,517",114.4,112.3,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3722962,2023-09-19,2023-09-19,16:57:29,17:04:00,18770.0,2880000.0,"6,517",134.8,131.5,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3722963,2023-09-19,2023-09-19,16:57:29,17:03:00,18757.0,3400000.0,"5,517",104.0,100.3,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3723023,2023-09-19,2023-09-19,17:04:30,17:20:03,62143.0,3996000.0,"15,550",113.6,111.2,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3723238,2023-09-19,2023-09-19,17:26:31,17:33:00,21998.0,3393000.0,"6,483",108.4,105.0,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3723410,2023-09-19,2023-09-19,17:48:30,17:55:03,20767.0,3170000.0,"6,550",135.4,131.8,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3723411,2023-09-19,2023-09-19,17:48:30,17:50:03,3100.0,2000000.0,"1,550",139.3,137.3,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3723447,2023-09-19,2023-09-19,17:53:30,17:56:00,5153.0,2061000.0,"2,500",114.6,112.6,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3723172,2023-09-19,2023-09-19,17:20:30,17:23:00,7997.0,3199000.0,"2,500",110.5,106.9,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3723244,2023-09-19,2023-09-19,17:27:30,17:29:00,3750.0,2500000.0,"1,500",116.9,114.4,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3723995,2023-09-20,2023-09-20,08:34:29,08:36:01,3220.0,2100000.0,"1,533",139.5,137.4,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3721967,2023-09-19,2023-09-19,08:18:29,08:23:00,11475.0,2541000.0,"4,517",138.6,136.3,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3722688,2023-09-19,2023-09-19,16:18:28,16:35:04,48525.0,2923000.0,"16,600",139.8,137.5,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3722970,2023-09-19,2023-09-19,16:58:29,17:03:00,11428.0,2530000.0,"4,517",115.8,113.6,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3723462,2023-09-19,2023-09-19,17:55:30,17:57:00,3300.0,2200000.0,"1,500",108.4,106.2,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3723502,2023-09-19,2023-09-19,18:02:30,18:09:00,16793.0,2584000.0,"6,500",135.0,131.9,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3724355,2023-09-20,2023-09-20,16:07:30,16:10:03,6375.0,2500000.0,"2,550",138.5,136.0,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3725221,2023-09-21,2023-09-21,07:44:27,07:51:01,17650.0,2688000.0,"6,567",139.6,137.4,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3720926,2023-09-18,2023-09-18,17:20:30,17:40:03,67172.0,3436000.0,"19,550",115.9,112.8,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3721159,2023-09-18,2023-09-18,17:43:30,17:53:00,25638.0,2699000.0,"9,500",116.0,112.7,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3721241,2023-09-18,2023-09-18,17:53:30,18:01:00,22825.0,3043000.0,"7,500",114.3,111.7,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3723846,2023-09-20,2023-09-20,07:56:28,08:30:02,129780.0,3866000.0,"33,567",139.5,137.3,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3723847,2023-09-20,2023-09-20,07:56:28,08:07:00,24588.0,2334000.0,"10,533",136.0,134.0,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3724001,2023-09-20,2023-09-20,08:37:29,08:41:01,9282.0,2627000.0,"3,533",139.3,136.7,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3724512,2023-09-20,2023-09-20,16:37:30,16:39:00,3450.0,2300000.0,"1,500",139.4,137.1,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3725321,2023-09-21,2023-09-21,07:55:28,08:00:06,9812.0,2118000.0,"4,633",134.8,132.6,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3725359,2023-09-21,2023-09-21,07:59:28,08:02:00,7600.0,3000000.0,"2,533",139.5,136.5,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3720848,2023-09-18,2023-09-18,17:12:30,17:18:00,14423.0,2622000.0,"5,500",132.8,129.8,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
