NL Site Number,File Start Date,File End Date,File Start Time,File End Time,File Severity,Average Length,File Duration,Hectometer Head,Hectometer Tail,Route Letter,Route Number,Route Description,Hectometering Direction,Trajectory From,Trajectory To,Cause Ground Detail,Month,route
2976367,2022-04-05,2022-04-05,17:36:32,17:59:00,74453.0,3314000.0,"22,467",108.4,104.8,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2978543,2022-04-07,2022-04-07,08:22:27,08:26:01,7723.0,2165000.0,"3,567",140.2,138.0,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2976619,2022-04-05,2022-04-05,18:16:32,18:18:00,3667.0,2500000.0,"1,467",109.2,106.7,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2974017,2022-04-04,2022-04-04,17:12:32,17:16:00,7798.0,2250000.0,"3,467",115.9,113.6,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2975845,2022-04-05,2022-04-05,16:25:32,16:37:00,32133.0,2802000.0,"11,467",135.6,133.4,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2976624,2022-04-05,2022-04-05,18:17:32,18:20:01,5557.0,2238000.0,"2,483",114.1,111.9,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2977859,2022-04-06,2022-04-06,17:54:28,17:58:00,7975.0,2257000.0,"3,533",139.5,137.1,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2974113,2022-04-04,2022-04-04,17:24:32,17:39:00,36705.0,2537000.0,"14,467",138.8,134.5,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2975004,2022-04-05,2022-04-05,08:23:31,08:40:02,60658.0,3673000.0,"16,517",138.0,134.8,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2976626,2022-04-05,2022-04-05,18:18:32,18:20:02,3450.0,2300000.0,"1,500",139.7,137.4,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2976630,2022-04-05,2022-04-05,18:20:32,18:22:00,3080.0,2100000.0,"1,467",139.6,137.5,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2977547,2022-04-06,2022-04-06,17:03:28,17:14:01,22720.0,2154000.0,"10,550",136.5,134.4,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2977764,2022-04-06,2022-04-06,17:38:30,17:41:00,5773.0,2309000.0,"2,500",107.9,105.5,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2977897,2022-04-06,2022-04-06,18:02:28,18:05:02,5390.0,2100000.0,"2,567",138.0,135.9,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2977967,2022-04-06,2022-04-06,18:36:26,18:40:01,8512.0,2375000.0,"3,583",135.6,133.0,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2971420,2022-04-01,2022-04-01,06:20:23,06:22:00,3395.0,2100000.0,"1,617",157.3,155.2,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2979794,2022-04-07,2022-04-07,17:03:29,17:05:03,3447.0,2200000.0,"1,567",107.2,105.0,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2980813,2022-04-08,2022-04-08,15:32:29,15:37:00,10243.0,2268000.0,"4,517",134.6,132.4,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2981156,2022-04-08,2022-04-08,16:48:29,16:52:00,11363.0,3231000.0,"3,517",135.0,131.4,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2982298,2022-04-11,2022-04-11,08:24:27,08:29:01,11637.0,2548000.0,"4,567",138.2,136.1,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2982323,2022-04-11,2022-04-11,08:30:28,08:32:01,3255.0,2100000.0,"1,550",135.2,133.1,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2983038,2022-04-11,2022-04-11,17:20:29,17:22:00,3185.0,2100000.0,"1,517",135.5,133.4,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2983307,2022-04-11,2022-04-11,18:10:28,18:13:00,5393.0,2129000.0,"2,533",115.4,113.2,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2978749,2022-04-07,2022-04-07,08:45:28,08:51:03,13887.0,2487000.0,"5,583",96.0,93.6,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2978750,2022-04-07,2022-04-07,08:45:28,09:00:05,37270.0,2550000.0,"14,617",152.5,150.1,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2978842,2022-04-07,2022-04-07,08:56:28,08:58:00,3987.0,2600000.0,"1,533",159.5,156.9,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
